Date,ReleaseType
2021-01-08 00:00:00,NFP
2021-01-13 00:00:00,CPI
2021-01-27 00:00:00,FOMC
2021-02-05 00:00:00,NFP
2021-02-10 00:00:00,CPI
2021-03-05 00:00:00,NFP
2021-03-10 00:00:00,CPI
2021-03-17 00:00:00,FOMC
2021-04-02 00:00:00,NFP
2021-04-13 00:00:00,CPI
2021-04-28 00:00:00,FOMC
2021-05-07 00:00:00,NFP
2021-05-12 00:00:00,CPI
2021-06-04 00:00:00,NFP
2021-06-10 00:00:00,CPI
2021-06-16 00:00:00,FOMC
2021-07-02 00:00:00,NFP
2021-07-13 00:00:00,CPI
2021-07-28 00:00:00,FOMC
2021-08-06 00:00:00,NFP
2021-08-11 00:00:00,CPI
2021-09-03 00:00:00,NFP
2021-09-14 00:00:00,CPI
2021-09-22 00:00:00,FOMC
2021-10-08 00:00:00,NFP
2021-10-13 00:00:00,CPI
2021-11-03 00:00:00,FOMC
2021-11-05 00:00:00,NFP
2021-11-10 00:00:00,CPI
2021-12-03 00:00:00,NFP
2021-12-10 00:00:00,CPI
2021-12-15 00:00:00,FOMC
2022-01-07 00:00:00,NFP
2022-01-12 00:00:00,CPI
2022-01-26 00:00:00,FOMC
2022-02-04 00:00:00,NFP
2022-02-10 00:00:00,CPI
2022-03-04 00:00:00,NFP
2022-03-10 00:00:00,CPI
2022-03-16 00:00:00,FOMC
2022-04-01 00:00:00,NFP
2022-04-12 00:00:00,CPI
2022-05-04 00:00:00,FOMC
2022-05-06 00:00:00,NFP
2022-05-11 00:00:00,CPI
2022-06-03 00:00:00,NFP
2022-06-10 00:00:00,CPI
2022-06-15 00:00:00,FOMC
2022-07-08 00:00:00,NFP
2022-07-13 00:00:00,CPI
2022-07-27 00:00:00,FOMC
2022-08-05 00:00:00,NFP
2022-08-10 00:00:00,CPI
2022-09-02 00:00:00,NFP
2022-09-13 00:00:00,CPI
2022-09-21 00:00:00,FOMC
2022-10-07 00:00:00,NFP
2022-10-13 00:00:00,CPI
2022-11-02 00:00:00,FOMC
2022-11-04 00:00:00,NFP
2022-11-10 00:00:00,CPI
2022-12-02 00:00:00,NFP
2022-12-13 00:00:00,CPI
2022-12-14 00:00:00,FOMC
