Date,ReleaseType
2024-01-05 08:30:00,NFP
2024-01-11 08:30:00,CPI
2024-01-31 14:00:00,FOMC
2024-02-02 08:30:00,NFP
2024-02-13 08:30:00,CPI
2024-03-08 08:30:00,NFP
2024-03-12 08:30:00,CPI
2024-03-20 14:00:00,FOMC
2024-04-05 08:30:00,NFP
2024-04-10 08:30:00,CPI
2024-05-01 14:00:00,FOMC
2024-05-03 08:30:00,NFP
2024-05-15 08:30:00,CPI
2024-06-07 08:30:00,NFP
2024-06-12 08:30:00,CPI
2024-06-12 14:00:00,FOMC
2024-07-05 08:30:00,NFP
2024-07-11 08:30:00,CPI
2024-07-31 14:00:00,FOMC
2024-08-02 08:30:00,NFP
2024-08-14 08:30:00,CPI
2024-09-06 08:30:00,NFP
2024-09-11 08:30:00,CPI
2024-09-18 14:00:00,FOMC
2024-10-04 08:30:00,NFP
2024-10-10 08:30:00,CPI
2024-11-01 08:30:00,NFP
2024-11-07 14:00:00,FOMC
2024-11-13 08:30:00,CPI
2024-12-06 08:30:00,NFP
2024-12-11 08:30:00,CPI
2024-12-18 14:00:00,FOMC
