Date,ReleaseType
2021-01-08 00:00:00,NFP
2021-01-13 00:00:00,CPI
2021-01-27 00:00:00,FOMC
2021-02-05 00:00:00,NFP
2021-02-10 00:00:00,CPI
2021-03-05 00:00:00,NFP
2021-03-10 00:00:00,CPI
2021-03-17 00:00:00,FOMC
2021-04-02 00:00:00,NFP
2021-04-13 00:00:00,CPI
2021-04-28 00:00:00,FOMC
2021-05-07 00:00:00,NFP
2021-05-12 00:00:00,CPI
2021-06-04 00:00:00,NFP
2021-06-10 00:00:00,CPI
2021-06-16 00:00:00,FOMC
2021-07-02 00:00:00,NFP
2021-07-13 00:00:00,CPI
2021-07-28 00:00:00,FOMC
2021-08-06 00:00:00,NFP
2021-08-11 00:00:00,CPI
2021-09-03 00:00:00,NFP
2021-09-14 00:00:00,CPI
2021-09-22 00:00:00,FOMC
2021-10-08 00:00:00,NFP
2021-10-13 00:00:00,CPI
2021-11-03 00:00:00,FOMC
2021-11-05 00:00:00,NFP
2021-11-10 00:00:00,CPI
2021-12-03 00:00:00,NFP
2021-12-10 00:00:00,CPI
2021-12-15 00:00:00,FOMC
2022-01-07 00:00:00,NFP
2022-01-12 00:00:00,CPI
2022-01-26 00:00:00,FOMC
2022-02-04 00:00:00,NFP
2022-02-10 00:00:00,CPI
2022-03-04 00:00:00,NFP
2022-03-10 00:00:00,CPI
2022-03-16 00:00:00,FOMC
2022-04-01 00:00:00,NFP
2022-04-12 00:00:00,CPI
2022-05-04 00:00:00,FOMC
2022-05-06 00:00:00,NFP
2022-05-11 00:00:00,CPI
2022-06-03 00:00:00,NFP
2022-06-10 00:00:00,CPI
2022-06-15 00:00:00,FOMC
2022-07-08 00:00:00,NFP
2022-07-13 00:00:00,CPI
2022-07-27 00:00:00,FOMC
2022-08-05 00:00:00,NFP
2022-08-10 00:00:00,CPI
2022-09-02 00:00:00,NFP
2022-09-13 00:00:00,CPI
2022-09-21 00:00:00,FOMC
2022-10-07 00:00:00,NFP
2022-10-13 00:00:00,CPI
2022-11-02 00:00:00,FOMC
2022-11-04 00:00:00,NFP
2022-11-10 00:00:00,CPI
2022-12-02 00:00:00,NFP
2022-12-13 00:00:00,CPI
2022-12-14 00:00:00,FOMC
2023-01-06 00:00:00,NFP
2023-01-12 00:00:00,CPI
2023-02-01 00:00:00,FOMC
2023-02-03 00:00:00,NFP
2023-02-14 00:00:00,CPI
2023-03-10 00:00:00,NFP
2023-03-14 00:00:00,CPI
2023-03-22 00:00:00,FOMC
2023-04-07 00:00:00,NFP
2023-04-12 00:00:00,CPI
2023-05-03 00:00:00,FOMC
2023-05-05 00:00:00,NFP
2023-05-10 00:00:00,CPI
2023-06-02 00:00:00,NFP
2023-06-13 00:00:00,CPI
2023-06-14 00:00:00,FOMC
2023-07-07 00:00:00,NFP
2023-07-12 00:00:00,CPI
2023-07-26 00:00:00,FOMC
2023-08-04 00:00:00,NFP
2023-08-10 00:00:00,CPI
2023-09-01 00:00:00,NFP
2023-09-13 00:00:00,CPI
2023-09-20 00:00:00,FOMC
2023-10-06 00:00:00,NFP
2023-10-12 00:00:00,CPI
2023-11-01 00:00:00,FOMC
2023-11-03 00:00:00,NFP
2023-11-14 00:00:00,CPI
2023-12-08 00:00:00,NFP
2023-12-12 00:00:00,CPI
2023-12-13 00:00:00,FOMC
2024-01-05 00:00:00,NFP
2024-01-11 00:00:00,CPI
2024-01-31 00:00:00,FOMC
2024-02-02 00:00:00,NFP
2024-02-13 00:00:00,CPI
2024-03-08 00:00:00,NFP
2024-03-12 00:00:00,CPI
2024-03-20 00:00:00,FOMC
2024-04-05 00:00:00,NFP
2024-04-10 00:00:00,CPI
2024-05-01 00:00:00,FOMC
2024-05-03 00:00:00,NFP
2024-05-15 00:00:00,CPI
2024-06-07 00:00:00,NFP
2024-06-12 00:00:00,CPI
2024-06-12 00:00:00,FOMC
2024-07-05 00:00:00,NFP
2024-07-11 00:00:00,CPI
2024-07-31 00:00:00,FOMC
2024-08-02 00:00:00,NFP
2024-08-14 00:00:00,CPI
2024-09-06 00:00:00,NFP
2024-09-11 00:00:00,CPI
2024-09-18 00:00:00,FOMC
2024-10-04 00:00:00,NFP
2024-10-10 00:00:00,CPI
2024-11-01 00:00:00,NFP
2024-11-07 00:00:00,FOMC
2024-11-13 00:00:00,CPI
2024-12-06 00:00:00,NFP
2024-12-11 00:00:00,CPI
2024-12-18 00:00:00,FOMC
2025-01-10 00:00:00,NFP
2025-01-15 00:00:00,CPI
2025-01-29 00:00:00,FOMC
2025-02-07 00:00:00,NFP
2025-02-12 00:00:00,CPI
2025-03-07 00:00:00,NFP
2025-03-12 00:00:00,CPI
2025-03-19 00:00:00,FOMC
2025-04-04 00:00:00,NFP
2025-04-10 00:00:00,CPI
2025-05-02 00:00:00,NFP
2025-05-07 00:00:00,FOMC
2025-05-13 00:00:00,CPI
2025-06-06 00:00:00,NFP
2025-06-11 00:00:00,CPI
2025-06-18 00:00:00,FOMC
2025-07-03 00:00:00,NFP
2025-07-15 00:00:00,CPI
2025-07-30 00:00:00,FOMC
2025-08-01 00:00:00,NFP
2025-08-12 00:00:00,CPI
2025-09-05 00:00:00,NFP
2025-09-11 00:00:00,CPI
2025-09-17 00:00:00,FOMC
2025-10-24 00:00:00,CPI
2025-10-29 00:00:00,FOMC
2025-11-20 00:00:00,NFP
2025-12-10 00:00:00,FOMC
2025-12-16 00:00:00,NFP
2025-12-18 00:00:00,CPI
